Yr,Mn,Mouna Loa CO2 fit [ppm],Adobe net income [Millions of US$],c1.5,c3.0,cbase,c4.0,a1,a2,a3
2038,04,,,,,,,,,
2038,05,,,,,,,,,
2038,06,,,,,,,,,
2038,07,,,,,,,,,
2038,08,,,439.5,461.2,468.7,467.4,3699,32,2108
2038,09,,,,,,,,,
2038,10,,,,,,,,,
2038,11,,,,,,,,,
2038,12,,,,,,,,,
2039,01,,,,,,,,,
2039,02,,,,,,,,,
2039,03,,,,,,,,,
2039,04,,,,,,,,,
2039,05,,,,,,,,,
2039,06,,,,,,,,,
2039,07,,,,,,,,,
2039,08,,,439,463.4,471.8,470.4,3147,453,-2423
2039,09,,,,,,,,,
2039,10,,,,,,,,,
2039,11,,,,,,,,,
2039,12,,,,,,,,,
2040,01,,,,,,,,,
2040,02,,,,,,,,,
2040,03,,,,,,,,,
2040,04,,,,,,,,,
2040,05,,,,,,,,,
2040,06,,,,,,,,,
2040,07,,,,,,,,,
2040,08,,,438.4,465.5,475,473.5,2237,380,1716
2040,09,,,,,,,,,
2040,10,,,,,,,,,
2040,11,,,,,,,,,
2040,12,,,,,,,,,
2041,01,,,,,,,,,
2041,02,,,,,,,,,
2041,03,,,,,,,,,
2041,04,,,,,,,,,
2041,05,,,,,,,,,
2041,06,,,,,,,,,
2041,07,,,,,,,,,
2041,08,,,437.7,467.6,478.1,476.6,4625,299,5913
2041,09,,,,,,,,,
2041,10,,,,,,,,,
2041,11,,,,,,,,,
2041,12,,,,,,,,,
2042,01,,,,,,,,,
2042,02,,,,,,,,,
2042,03,,,,,,,,,
2042,04,,,,,,,,,
2042,05,,,,,,,,,
2042,06,,,,,,,,,
2042,07,,,,,,,,,
2042,08,,,437,469.6,481.3,479.8,4536,494,4305
2042,09,,,,,,,,,
2042,10,,,,,,,,,
2042,11,,,,,,,,,
2042,12,,,,,,,,,
2043,01,,,,,,,,,
2043,02,,,,,,,,,
2043,03,,,,,,,,,
2043,04,,,,,,,,,
2043,05,,,,,,,,,
2043,06,,,,,,,,,
2043,07,,,,,,,,,
2043,08,,,436.2,471.7,484.5,483,4849,8,9558
2043,09,,,,,,,,,
2043,10,,,,,,,,,
2043,11,,,,,,,,,
2043,12,,,,,,,,,
2044,01,,,,,,,,,
2044,02,,,,,,,,,
2044,03,,,,,,,,,
2044,04,,,,,,,,,
2044,05,,,,,,,,,
2044,06,,,,,,,,,
2044,07,,,,,,,,,
2044,08,,,435.4,473.7,487.8,486.3,788,291,3212
2044,09,,,,,,,,,
2044,10,,,,,,,,,
2044,11,,,,,,,,,
2044,12,,,,,,,,,
2045,01,,,,,,,,,
2045,02,,,,,,,,,
2045,03,,,,,,,,,
2045,04,,,,,,,,,
2045,05,,,,,,,,,
2045,06,,,,,,,,,
2045,07,,,,,,,,,
2045,08,,,434.6,475.8,491.1,489.6,966,6,8448
2045,09,,,,,,,,,
2045,10,,,,,,,,,
2045,11,,,,,,,,,
2045,12,,,,,,,,,
2046,01,,,,,,,,,
2046,02,,,,,,,,,
2046,03,,,,,,,,,
2046,04,,,,,,,,,
2046,05,,,,,,,,,
2046,06,,,,,,,,,
2046,07,,,,,,,,,
2046,08,,,433.8,477.8,494.4,493,4320,390,7355
2046,09,,,,,,,,,
2046,10,,,,,,,,,
2046,11,,,,,,,,,
2046,12,,,,,,,,,
2047,01,,,,,,,,,
2047,02,,,,,,,,,
2047,03,,,,,,,,,
2047,04,,,,,,,,,
2047,05,,,,,,,,,
2047,06,,,,,,,,,
2047,07,,,,,,,,,
2047,08,,,432.9,479.8,497.7,496.4,2719,342,4618
2047,09,,,,,,,,,
2047,10,,,,,,,,,
2047,11,,,,,,,,,
2047,12,,,,,,,,,
2048,01,,,,,,,,,
2048,02,,,,,,,,,
2048,03,,,,,,,,,
2048,04,,,,,,,,,
2048,05,,,,,,,,,
2048,06,,,,,,,,,
2048,07,,,,,,,,,
2048,08,,,432,481.8,501.1,500,4747,79,3197
2048,09,,,,,,,,,
2048,10,,,,,,,,,
2048,11,,,,,,,,,
2048,12,,,,,,,,,
2049,01,,,,,,,,,
2049,02,,,,,,,,,
2049,03,,,,,,,,,
2049,04,,,,,,,,,
2049,05,,,,,,,,,
2049,06,,,,,,,,,
2049,07,,,,,,,,,
2049,08,,,431.2,483.9,504.5,503.5,3361,220,730
2049,09,,,,,,,,,
2049,10,,,,,,,,,
2049,11,,,,,,,,,
2049,12,,,,,,,,,
2050,01,,,,,,,,,
2050,02,,,,,,,,,
2050,03,,,,,,,,,
2050,04,,,,,,,,,
2050,05,,,,,,,,,
2050,06,,,,,,,,,
2050,07,,,,,,,,,
2050,08,,,430.3,485.9,507.9,507.2,39,347,7092
2050,09,,,,,,,,,
2050,10,,,,,,,,,
2050,11,,,,,,,,,
2050,12,,,,,,,,,
2051,01,,,,,,,,,
2051,02,,,,,,,,,
2051,03,,,,,,,,,
2051,04,,,,,,,,,
2051,05,,,,,,,,,
2051,06,,,,,,,,,
2051,07,,,,,,,,,
2051,08,,,429.4,487.9,511.3,510.9,33,59,7939
2051,09,,,,,,,,,
2051,10,,,,,,,,,
2051,11,,,,,,,,,
2051,12,,,,,,,,,
2052,01,,,,,,,,,
2052,02,,,,,,,,,
2052,03,,,,,,,,,
2052,04,,,,,,,,,
2052,05,,,,,,,,,
2052,06,,,,,,,,,
2052,07,,,,,,,,,
2052,08,,,428.5,489.9,514.8,514.7,45,399,9847
2052,09,,,,,,,,,
2052,10,,,,,,,,,
2052,11,,,,,,,,,
2052,12,,,,,,,,,
2053,01,,,,,,,,,
2053,02,,,,,,,,,
2053,03,,,,,,,,,
2053,04,,,,,,,,,
2053,05,,,,,,,,,
2053,06,,,,,,,,,
2053,07,,,,,,,,,
2053,08,,,427.7,491.9,518.3,518.6,15,22,2678
2053,09,,,,,,,,,
2053,10,,,,,,,,,
2053,11,,,,,,,,,
2053,12,,,,,,,,,
2054,01,,,,,,,,,
2054,02,,,,,,,,,
2054,03,,,,,,,,,
2054,04,,,,,,,,,
2054,05,,,,,,,,,
2054,06,,,,,,,,,
2054,07,,,,,,,,,
2054,08,,,426.8,493.9,521.9,522.5,3,71,3654
2054,09,,,,,,,,,
2054,10,,,,,,,,,
2054,11,,,,,,,,,
2054,12,,,,,,,,,
2055,01,,,,,,,,,
2055,02,,,,,,,,,
2055,03,,,,,,,,,
2055,04,,,,,,,,,
2055,05,,,,,,,,,
2055,06,,,,,,,,,
2055,07,,,,,,,,,
2055,08,,,425.9,495.9,525.5,526.6,35,169,18
2055,09,,,,,,,,,
2055,10,,,,,,,,,
2055,11,,,,,,,,,
2055,12,,,,,,,,,
2056,01,,,,,,,,,
2056,02,,,,,,,,,
2056,03,,,,,,,,,
2056,04,,,,,,,,,
2056,05,,,,,,,,,
2056,06,,,,,,,,,
2056,07,,,,,,,,,
2056,08,,,425.1,498,529.1,530.7,6,358,4705
2056,09,,,,,,,,,
2056,10,,,,,,,,,
2056,11,,,,,,,,,
2056,12,,,,,,,,,
2057,01,,,,,,,,,
2057,02,,,,,,,,,
2057,03,,,,,,,,,
2057,04,,,,,,,,,
2057,05,,,,,,,,,
2057,06,,,,,,,,,
2057,07,,,,,,,,,
2057,08,,,424.2,500,532.7,534.9,11,33,847
2057,09,,,,,,,,,
2057,10,,,,,,,,,
2057,11,,,,,,,,,
2057,12,,,,,,,,,
2058,01,,,,,,,,,
2058,02,,,,,,,,,
2058,03,,,,,,,,,
2058,04,,,,,,,,,
2058,05,,,,,,,,,
2058,06,,,,,,,,,
2058,07,,,,,,,,,
2058,08,,,423.4,502,536.4,539.3,1,499,164
2058,09,,,,,,,,,
2058,10,,,,,,,,,
2058,11,,,,,,,,,
2058,12,,,,,,,,,
2059,01,,,,,,,,,
2059,02,,,,,,,,,
2059,03,,,,,,,,,
2059,04,,,,,,,,,
2059,05,,,,,,,,,
2059,06,,,,,,,,,
2059,07,,,,,,,,,
2059,08,,,422.5,504,540.1,543.7,11,404,790
2059,09,,,,,,,,,
2059,10,,,,,,,,,
2059,11,,,,,,,,,
2059,12,,,,,,,,,
2060,01,,,,,,,,,
2060,02,,,,,,,,,
2060,03,,,,,,,,,
2060,04,,,,,,,,,
2060,05,,,,,,,,,
2060,06,,,,,,,,,
2060,07,,,,,,,,,
2060,08,,,421.7,506,543.8,548.2,38,270,1767
2060,09,,,,,,,,,
2060,10,,,,,,,,,
2060,11,,,,,,,,,
2060,12,,,,,,,,,
2061,01,,,,,,,,,
2061,02,,,,,,,,,
2061,03,,,,,,,,,
2061,04,,,,,,,,,
2061,05,,,,,,,,,
2061,06,,,,,,,,,
2061,07,,,,,,,,,
2061,08,,,420.9,508,547.5,552.8,3,248,3815
2061,09,,,,,,,,,
2061,10,,,,,,,,,
2061,11,,,,,,,,,
2061,12,,,,,,,,,
2062,01,,,,,,,,,
2062,02,,,,,,,,,
2062,03,,,,,,,,,
2062,04,,,,,,,,,
2062,05,,,,,,,,,
2062,06,,,,,,,,,
2062,07,,,,,,,,,
2062,08,,,420,510.1,551.3,557.5,2,347,6489
2062,09,,,,,,,,,
2062,10,,,,,,,,,
2062,11,,,,,,,,,
2062,12,,,,,,,,,
2063,01,,,,,,,,,
2063,02,,,,,,,,,
2063,03,,,,,,,,,
2063,04,,,,,,,,,
2063,05,,,,,,,,,
2063,06,,,,,,,,,
2063,07,,,,,,,,,
2063,08,,,419.2,512.1,555.2,562.4,18,16,1336
2063,09,,,,,,,,,
2063,10,,,,,,,,,
2063,11,,,,,,,,,
2063,12,,,,,,,,,
2064,01,,,,,,,,,
2064,02,,,,,,,,,
2064,03,,,,,,,,,
2064,04,,,,,,,,,
2064,05,,,,,,,,,
2064,06,,,,,,,,,
2064,07,,,,,,,,,
2064,08,,,418.4,514.1,559,567.3,9,78,7053
2064,09,,,,,,,,,
2064,10,,,,,,,,,
2064,11,,,,,,,,,
2064,12,,,,,,,,,
2065,01,,,,,,,,,
2065,02,,,,,,,,,
2065,03,,,,,,,,,
2065,04,,,,,,,,,
2065,05,,,,,,,,,
2065,06,,,,,,,,,
2065,07,,,,,,,,,
2065,08,,,417.6,516.2,562.9,572.4,2,423,2023
2065,09,,,,,,,,,
2065,10,,,,,,,,,
2065,11,,,,,,,,,
2065,12,,,,,,,,,
2066,01,,,,,,,,,
2066,02,,,,,,,,,
2066,03,,,,,,,,,
2066,04,,,,,,,,,
2066,05,,,,,,,,,
2066,06,,,,,,,,,
2066,07,,,,,,,,,
2066,08,,,416.8,518.2,566.8,577.5,8,276,2275
2066,09,,,,,,,,,
2066,10,,,,,,,,,
2066,11,,,,,,,,,
2066,12,,,,,,,,,
2067,01,,,,,,,,,
2067,02,,,,,,,,,
2067,03,,,,,,,,,
2067,04,,,,,,,,,
2067,05,,,,,,,,,
2067,06,,,,,,,,,
2067,07,,,,,,,,,
2067,08,,,416.1,520.3,570.8,582.8,-1,272,4726
2067,09,,,,,,,,,
2067,10,,,,,,,,,
2067,11,,,,,,,,,
2067,12,,,,,,,,,
2068,01,,,,,,,,,
2068,02,,,,,,,,,
2068,03,,,,,,,,,
2068,04,,,,,,,,,
2068,05,,,,,,,,,
2068,06,,,,,,,,,
2068,07,,,,,,,,,
2068,08,,,415.3,522.3,574.8,588.2,-4,186,1710
2068,09,,,,,,,,,
2068,10,,,,,,,,,
2068,11,,,,,,,,,
2068,12,,,,,,,,,
2069,01,,,,,,,,,
2069,02,,,,,,,,,
2069,03,,,,,,,,,
2069,04,,,,,,,,,
2069,05,,,,,,,,,
2069,06,,,,,,,,,
2069,07,,,,,,,,,
2069,08,,,414.5,524.4,578.8,593.6,9,264,494
2069,09,,,,,,,,,
2069,10,,,,,,,,,
2069,11,,,,,,,,,
2069,12,,,,,,,,,
2070,01,,,,,,,,,
2070,02,,,,,,,,,
2070,03,,,,,,,,,
2070,04,,,,,,,,,
2070,05,,,,,,,,,
2070,06,,,,,,,,,
2070,07,,,,,,,,,
2070,08,,,413.7,526.5,582.9,599.2,1,234,1379
2070,09,,,,,,,,,
2070,10,,,,,,,,,
2070,11,,,,,,,,,
2070,12,,,,,,,,,
2071,01,,,,,,,,,
2071,02,,,,,,,,,
2071,03,,,,,,,,,
2071,04,,,,,,,,,
2071,05,,,,,,,,,
2071,06,,,,,,,,,
2071,07,,,,,,,,,
2071,08,,,413,528.6,587,604.9,3,9,4790
